CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Antiquity_months,Total_count_products,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,debt,Open_To_Buy,Total_Trans_Amt,Total_AmtTrans_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
708758658,Existing Customer,49,M,4,Graduate,Married,$80K - $120K,Blue,39,5,1,1,34516,543,33973,3951,0.745,76,0.9,0.016
714011358,Existing Customer,38,M,3,Graduate,Divorced,$80K - $120K,Blue,24,5,1,3,14821,0,14821,2876,0.661,60,0.622,0
712401033,Existing Customer,36,M,1,Unknown,Single,Less than $40K,Blue,23,4,3,1,1438.3,928,510.3,2186,0.851,59,0.686,0.645
771212508,Existing Customer,34,F,2,Unknown,Single,Less than $40K,Blue,21,6,3,4,6131,1270,4861,2825,0.913,93,0.824,0.207
821150958,Existing Customer,52,M,5,Graduate,Single,$80K - $120K,Blue,47,3,1,1,2047,665,1382,3452,0.605,66,0.692,0.325
792272658,Existing Customer,40,M,3,Graduate,Single,$80K - $120K,Blue,34,3,3,4,22380,1220,21160,3756,0.884,73,0.78,0.055
809818008,Existing Customer,36,M,3,Uneducated,Married,$80K - $120K,Blue,31,3,3,5,12893,1620,11273,2300,0.576,60,0.463,0.126
803231058,Existing Customer,53,M,3,High School,Single,Less than $40K,Blue,47,5,1,1,3351,1474,1877,4294,0.393,66,0.737,0.44
715698633,Existing Customer,40,F,2,Unknown,Married,Less than $40K,Blue,36,3,1,1,5093,2376,2717,2341,0.822,57,0.541,0.467
720450108,Existing Customer,54,M,1,Graduate,Married,$40K - $60K,Blue,44,5,1,1,1438.3,0,1438.3,1585,0.576,37,0.609,0
719076858,Existing Customer,34,M,4,College,Single,$60K - $80K,Blue,20,5,1,2,2165,1952,213,2651,0.822,81,0.841,0.902
720016308,Existing Customer,62,F,1,Unknown,Single,Less than $40K,Blue,54,4,2,2,1927,1319,608,4199,0.672,77,0.75,0.684
712443558,Existing Customer,39,F,1,College,Single,Unknown,Blue,36,6,1,1,22125,0,22125,1994,0.645,57,0.727,0
711835758,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516,2099,32417,1756,0.449,35,0.25,0.061
709284333,Existing Customer,36,M,1,Uneducated,Divorced,$120K +,Blue,28,6,3,2,5260,1116,4144,2546,0.664,62,0.879,0.212
788122533,Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue,48,6,2,2,1438.3,0,1438.3,1336,0.706,32,0.882,0
709206333,Attrited Customer,44,F,4,Graduate,Single,$40K - $60K,Blue,30,3,4,4,4333,0,4333,1558,0.463,40,0.538,0
713039808,Existing Customer,45,M,4,College,Married,Less than $40K,Blue,32,3,2,1,6637,0,6637,1801,0.675,48,0.6,0
801700233,Existing Customer,36,M,2,Graduate,Single,$120K +,Blue,28,4,3,0,3174,2462,712,3140,0.772,74,0.721,0.776
716815308,Existing Customer,44,F,2,Uneducated,Married,Less than $40K,Blue,36,4,2,5,4396,1489,2907,3942,1.258,69,0.816,0.339
821149008,Attrited Customer,52,M,2,Graduate,Single,$80K - $120K,Blue,48,6,2,4,34516,0,34516,1661,0.539,40,0.6,0
720580383,Existing Customer,50,F,3,Graduate,Married,Less than $40K,Blue,37,3,2,4,1438.3,0,1438.3,3637,0.868,80,0.86,0
780202908,Existing Customer,53,F,2,Graduate,Single,Less than $40K,Blue,43,3,3,4,6853,1480,5373,2833,0.513,70,0.556,0.216
787504158,Existing Customer,36,F,0,Unknown,Married,Less than $40K,Blue,24,4,3,2,2570,2230,340,1755,0.686,42,0.448,0.868
716183283,Existing Customer,27,F,1,College,Divorced,Less than $40K,Blue,15,5,3,2,2166,890,1276,3563,1.024,70,0.892,0.411
824168808,Existing Customer,31,F,1,College,Divorced,Unknown,Blue,27,4,6,3,3647,1480,2167,2271,0.76,60,0.364,0.406
712936908,Existing Customer,36,M,3,Unknown,Single,$60K - $80K,Blue,36,3,1,1,11684,1786,9898,2969,0.806,88,0.796,0.153
719855958,Existing Customer,41,M,4,High School,Single,$60K - $80K,Blue,28,6,1,4,4475,0,4475,3367,0.706,66,0.737,0
710112933,Existing Customer,28,M,1,Uneducated,Single,$60K - $80K,Blue,18,6,3,2,16604,1716,14888,2580,1.025,61,0.649,0.103
768364233,Existing Customer,59,M,1,High School,Married,$40K - $60K,Blue,53,6,2,5,5446,1885,3561,1505,0.643,33,0.32,0.346
771725808,Existing Customer,43,M,3,Uneducated,Unknown,$80K - $120K,Blue,31,5,1,4,28700,769,27931,3395,0.901,71,0.578,0.027
780686358,Existing Customer,41,M,3,Unknown,Married,$60K - $80K,Blue,30,3,1,1,2888,1676,1212,3798,0.534,58,0.812,0.58
712762758,Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,34,4,2,0,9451,1280,8171,3179,0.681,79,0.975,0.135
714392808,Existing Customer,51,M,3,Unknown,Married,$80K - $120K,Blue,43,3,4,5,13933,1019,12914,3504,0.875,62,0.771,0.073
713089458,Existing Customer,44,M,1,High School,Married,Less than $40K,Blue,33,5,2,2,6130,808,5322,3411,0.747,78,0.592,0.132
826780683,Existing Customer,40,M,3,Graduate,Married,$60K - $80K,Blue,36,6,2,2,15008,0,15008,3943,0.784,85,0.771,0
780251658,Existing Customer,32,M,1,High School,Married,$40K - $60K,Blue,18,4,1,4,4583,1586,2997,2395,0.828,57,0.781,0.346
772273983,Attrited Customer,48,M,4,Uneducated,Single,$40K - $60K,Blue,37,1,3,4,5268,2191,3077,2138,0.622,40,0.429,0.416
737944908,Existing Customer,58,M,2,Unknown,Married,$60K - $80K,Blue,51,4,2,2,14976,1463,13513,1599,0.635,36,0.565,0.098
720688158,Existing Customer,37,F,3,High School,Single,Less than $40K,Blue,25,3,2,4,2282,0,2282,2751,0.741,68,0.659,0
719902908,Attrited Customer,51,M,3,Unknown,Married,$80K - $120K,Blue,36,3,3,3,5130,0,5130,1434,0.407,31,0.292,0
771682533,Existing Customer,43,F,3,Unknown,Married,Less than $40K,Blue,31,4,3,2,5702,0,5702,3928,0.773,75,0.744,0
708193008,Existing Customer,41,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,3,4,14480,0,14480,1616,0.703,43,0.654,0
772449858,Existing Customer,51,M,3,Graduate,Divorced,$40K - $60K,Blue,41,5,3,4,7570,1388,6182,3849,0.909,70,0.591,0.183
715992558,Existing Customer,52,M,2,Doctorate,Married,$80K - $120K,Blue,38,4,2,2,12878,1628,11250,1968,0.542,59,0.735,0.126
708502908,Existing Customer,61,M,2,High School,Single,$60K - $80K,Silver,48,5,2,3,26218,0,26218,3925,0.74,88,0.833,0
720132258,Existing Customer,49,M,3,Post-Graduate,Single,$120K +,Silver,36,6,1,5,34516,1323,33193,3422,0.934,78,0.529,0.038
708704433,Existing Customer,36,F,3,High School,Single,Unknown,Blue,23,6,3,4,2804,2090,714,2812,1.248,77,1.081,0.745
720906033,Existing Customer,35,M,1,Graduate,Married,$40K - $60K,Blue,25,5,4,4,5801,1176,4625,2987,1.12,52,0.857,0.203
719961183,Existing Customer,63,F,0,High School,Married,Less than $40K,Blue,53,5,3,2,2271,1278,993,1550,0.375,33,0.65,0.563
718838808,Existing Customer,36,F,1,Post-Graduate,Married,Less than $40K,Blue,23,6,3,3,3107,2354,753,2720,1.248,48,1.182,0.758
710268858,Existing Customer,33,F,4,Graduate,Single,Less than $40K,Blue,22,5,1,2,2001,1217,784,3162,0.775,99,0.707,0.608
788360283,Existing Customer,33,M,1,Graduate,Single,$80K - $120K,Blue,26,4,1,0,1438.3,0,1438.3,2557,0.865,55,0.618,0
717914808,Existing Customer,65,M,1,High School,Single,Unknown,Blue,36,4,3,5,4465,703,3762,4044,1.026,66,0.65,0.157
802884933,Existing Customer,61,M,1,Graduate,Married,$60K - $80K,Blue,55,6,2,3,3264,1348,1916,1665,0.756,32,0.524,0.413
714436383,Existing Customer,44,M,4,Graduate,Unknown,$80K - $120K,Blue,34,4,3,2,26856,0,26856,4222,0.581,75,0.471,0
718785483,Existing Customer,38,M,1,Doctorate,Single,$80K - $120K,Silver,29,6,3,3,34516,1435,33081,4238,1.13,85,0.809,0.042
708816408,Existing Customer,41,M,4,Uneducated,Single,$80K - $120K,Blue,32,4,6,3,21756,0,21756,3063,0.817,71,0.511,0
715363908,Existing Customer,44,F,4,Uneducated,Married,Less than $40K,Blue,26,4,1,2,4726,1551,3175,3658,0.544,70,0.628,0.328
709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516,2517,31999,1727,0.465,35,0.458,0.073
827643858,Existing Customer,45,F,2,Unknown,Single,Less than $40K,Blue,41,6,2,2,5596,0,5596,3212,0.833,64,0.422,0
711251133,Existing Customer,37,M,0,Post-Graduate,Single,$80K - $120K,Blue,27,5,2,3,15326,0,15326,2990,1.159,55,0.964,0
716896833,Existing Customer,51,M,1,Unknown,Single,$80K - $120K,Blue,38,3,1,4,11373,1319,10054,1976,0.693,35,0.75,0.116
789193383,Existing Customer,65,M,0,Uneducated,Single,Less than $40K,Blue,54,3,1,5,2644,1691,953,3495,0.755,70,0.628,0.64
712801758,Existing Customer,37,F,1,Graduate,Single,$40K - $60K,Blue,27,6,1,2,2673,2517,156,3052,0.714,63,0.75,0.942
719836083,Existing Customer,54,M,4,Unknown,Married,$60K - $80K,Blue,36,3,4,2,7477,1752,5725,1543,0.294,34,0.172,0.234
718291233,Existing Customer,46,M,4,Graduate,Married,$80K - $120K,Blue,33,5,1,3,16227,917,15310,4314,0.479,67,0.634,0.057
718682883,Existing Customer,41,M,2,Unknown,Single,$80K - $120K,Blue,34,3,3,1,19110,2449,16661,4478,1,76,0.727,0.128
771503958,Existing Customer,49,M,2,Unknown,Single,$40K - $60K,Blue,37,5,1,3,2993,1265,1728,4089,0.579,72,0.674,0.423
771960708,Existing Customer,51,M,2,Graduate,Married,$80K - $120K,Blue,40,3,2,4,3290,2461,829,3591,0.797,80,0.739,0.748
717427983,Existing Customer,50,F,3,High School,Single,Less than $40K,Silver,39,4,3,4,11176,2422,8754,2682,1.003,64,0.641,0.217
712737108,Existing Customer,48,F,4,High School,Married,Unknown,Blue,36,4,1,2,21416,0,21416,4221,0.702,75,0.923,0
771599283,Existing Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,2,5,2492,1668,824,1606,0.651,32,0.882,0.669
717237708,Existing Customer,54,M,2,Post-Graduate,Single,$60K - $80K,Blue,38,3,3,5,14265,1878,12387,3982,0.847,58,0.871,0.132
710703708,Existing Customer,46,F,4,Unknown,Single,$40K - $60K,Silver,35,6,3,2,16985,968,16017,2961,0.455,56,0.647,0.057
712513458,Existing Customer,47,F,4,High School,Single,Less than $40K,Blue,38,4,1,4,7469,1899,5570,3150,0.999,70,0.489,0.254
709690158,Existing Customer,52,F,4,Graduate,Married,Less than $40K,Blue,36,6,1,2,4592,2517,2075,1470,0.572,33,0.737,0.548
709959858,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,32,6,3,4,4341,0,4341,3825,0.613,63,0.537,0
720683958,Existing Customer,41,M,4,Uneducated,Divorced,$80K - $120K,Gold,36,6,2,2,34516,0,34516,4077,0.742,67,0.763,0
780704358,Existing Customer,34,M,3,Post-Graduate,Unknown,$60K - $80K,Silver,23,4,3,0,27710,0,27710,4014,0.777,73,0.659,0
717843783,Existing Customer,33,F,1,College,Single,Less than $40K,Silver,17,4,3,2,13431,1583,11848,2338,0.621,71,0.69,0.118
718318383,Existing Customer,49,M,1,High School,Unknown,$60K - $80K,Blue,36,6,3,4,2645,1499,1146,4251,0.67,69,0.533,0.567
708849858,Existing Customer,44,M,3,Doctorate,Single,$120K +,Blue,35,4,1,5,14028,1435,12593,3683,0.57,73,0.738,0.102
712652283,Existing Customer,36,M,1,Uneducated,Divorced,$80K - $120K,Blue,28,4,1,3,34516,774,33742,3030,0.989,74,0.805,0.022
793461933,Existing Customer,37,M,3,High School,Single,$80K - $120K,Blue,31,4,2,4,5699,1006,4693,2835,0.734,57,0.9,0.177
720084183,Existing Customer,46,M,3,Unknown,Divorced,$120K +,Blue,34,5,2,4,16284,0,16284,3018,0.889,75,0.5,0
767114958,Existing Customer,65,M,0,Uneducated,Single,Less than $40K,Blue,56,4,2,2,3226,2073,1153,3250,1.035,70,0.591,0.643
709216533,Existing Customer,52,M,2,College,Married,$80K - $120K,Blue,36,6,3,4,2803,778,2025,3142,0.55,64,0.561,0.278
720897783,Existing Customer,50,M,1,Uneducated,Married,$120K +,Blue,30,6,2,5,34516,2010,32506,2776,0.594,59,0.735,0.058
773503308,Existing Customer,59,M,1,Uneducated,Single,Less than $40K,Blue,53,5,5,4,2192,1569,623,4010,0.706,79,0.717,0.716
719963433,Existing Customer,37,F,3,Unknown,Single,Unknown,Blue,29,3,2,2,8318,1945,6373,3676,1.487,77,1.139,0.234
708139833,Attrited Customer,40,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2,3,6391,0,6391,2323,0.632,44,0.419,0
710664558,Existing Customer,40,F,3,High School,Married,Less than $40K,Blue,31,5,2,4,4736,945,3791,3927,0.835,73,0.659,0.2
713687508,Existing Customer,59,M,1,Doctorate,Single,$60K - $80K,Blue,49,5,2,4,9944,1606,8338,3159,0.62,69,0.568,0.162
816312633,Existing Customer,52,F,3,College,Married,$40K - $60K,Blue,47,6,3,3,4717,0,4717,2349,0.563,66,0.347,0
712019883,Existing Customer,43,F,4,Unknown,Unknown,Unknown,Blue,34,5,3,3,12778,1528,11250,3337,0.777,69,0.769,0.12
718216008,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Blue,38,5,2,3,16920,2157,14763,3275,0.629,60,0.5,0.127
718345233,Existing Customer,45,F,2,Graduate,Unknown,Less than $40K,Blue,35,6,3,3,3240,2517,723,1904,0.636,41,0.519,0.777
771228183,Existing Customer,30,F,0,Graduate,Divorced,Less than $40K,Blue,17,4,1,3,4704,0,4704,3294,1.177,87,0.891,0
789430083,Existing Customer,41,F,5,High School,Single,$40K - $60K,Blue,32,6,1,2,14987,1425,13562,4470,0.8,83,0.844,0.095
779524833,Existing Customer,51,M,1,Unknown,Single,$80K - $120K,Blue,34,4,3,3,3554,1563,1991,3640,0.893,59,0.735,0.44
823621083,Existing Customer,46,M,3,Graduate,Married,$120K +,Blue,42,3,3,4,9227,938,8289,3948,0.735,74,0.721,0.102
715563558,Existing Customer,50,M,1,Unknown,Married,$120K +,Blue,40,3,3,2,7522,1057,6465,2533,1.197,62,1.138,0.141
715424283,Existing Customer,31,F,0,College,Married,Less than $40K,Blue,21,5,2,2,1677,0,1677,3059,1.369,50,0.613,0
807209808,Existing Customer,48,M,1,High School,Single,$60K - $80K,Blue,40,6,2,2,2319,1630,689,3739,0.846,68,0.659,0.703
716578158,Existing Customer,39,F,1,Unknown,Married,Less than $40K,Blue,29,6,2,5,2722,1592,1130,3205,1.319,49,0.633,0.585
708911508,Existing Customer,50,F,2,Unknown,Married,Less than $40K,Blue,39,3,3,2,2046,0,2046,3446,0.936,71,0.578,0
717332733,Existing Customer,47,M,4,Unknown,Single,$80K - $120K,Silver,37,5,2,4,34516,0,34516,2851,1.06,80,0.739,0
710681808,Existing Customer,53,M,3,High School,Single,$80K - $120K,Blue,42,6,3,3,18531,1548,16983,2484,0.833,52,0.857,0.084
708740808,Existing Customer,45,M,4,Graduate,Married,$40K - $60K,Blue,36,5,3,4,4112,0,4112,2949,0.777,54,1.25,0
711728208,Existing Customer,46,M,4,Graduate,Single,$120K +,Blue,34,4,1,2,34516,0,34516,4143,0.991,68,0.659,0
720562008,Existing Customer,34,M,2,Graduate,Single,$80K - $120K,Silver,22,4,3,3,34516,1263,33253,2759,0.603,65,0.806,0.037
709012083,Existing Customer,39,M,1,Uneducated,Married,Less than $40K,Blue,28,3,3,4,4683,2514,2169,2010,0.58,45,0.731,0.537
771073908,Existing Customer,62,M,0,Unknown,Married,$40K - $60K,Blue,48,4,1,2,1438.3,0,1438.3,1406,0.425,27,0.5,0
718174908,Existing Customer,53,F,3,Uneducated,Married,Less than $40K,Blue,36,4,3,2,4224,2417,1807,1458,0.522,29,1.071,0.572
709550958,Existing Customer,51,M,3,Graduate,Married,$60K - $80K,Blue,32,3,1,4,7133,0,7133,2689,0.612,62,0.59,0
720411183,Existing Customer,34,F,1,High School,Single,Unknown,Blue,22,6,1,0,10253,1857,8396,3042,1.193,66,0.941,0.181
720776508,Existing Customer,44,F,2,Doctorate,Single,$40K - $60K,Blue,25,4,3,2,4210,0,4210,4248,1.224,65,0.857,0
755615208,Existing Customer,49,M,3,High School,Single,$120K +,Blue,42,5,3,2,12630,1822,10808,4084,0.947,66,0.571,0.144
708147108,Existing Customer,26,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084,2517,18567,2309,0.763,71,0.543,0.119
827476983,Attrited Customer,56,F,2,College,Single,Less than $40K,Blue,52,3,5,1,3639,2178,1461,1865,0.451,42,0.5,0.599
716682258,Existing Customer,52,M,1,High School,Divorced,$120K +,Blue,36,4,3,5,31945,1591,30354,3650,0.711,62,0.676,0.05
708563433,Attrited Customer,65,F,0,High School,Single,Unknown,Blue,56,3,6,3,5894,477,5417,1616,1.015,32,0.455,0.081
772277508,Existing Customer,65,F,1,Unknown,Single,Less than $40K,Blue,54,4,2,2,2209,0,2209,3292,1.299,52,0.857,0
712515558,Existing Customer,35,M,1,College,Single,$60K - $80K,Blue,26,3,2,3,23447,1515,21932,2834,0.622,77,0.638,0.065
719342808,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,30,4,2,3,4180,688,3492,3750,0.747,76,0.727,0.165
788957358,Existing Customer,53,F,1,Graduate,Single,$40K - $60K,Blue,39,3,3,2,4930,2227,2703,4224,0.801,77,0.791,0.452
778386033,Existing Customer,38,M,3,Uneducated,Married,$60K - $80K,Blue,18,6,3,4,3417,1749,1668,2068,0.57,34,0.619,0.512
820060758,Existing Customer,50,F,1,College,Single,Less than $40K,Blue,45,4,2,4,4785,1965,2820,3651,0.8,59,0.553,0.411
713271708,Existing Customer,46,M,3,Uneducated,Married,Less than $40K,Silver,33,5,2,2,12685,0,12685,4454,0.674,74,0.574,0
720555483,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,3,3,3,21374,0,21374,4100,0.631,79,0.681,0
709405758,Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,28,4,3,2,1911,1217,694,1965,0.363,49,0.256,0.637
769463433,Existing Customer,41,F,2,Post-Graduate,Single,Less than $40K,Blue,35,6,3,2,8666,0,8666,3593,0.682,71,0.578,0
786087633,Existing Customer,60,M,0,Unknown,Married,$60K - $80K,Blue,54,4,1,0,2759,2501,258,1650,0.505,34,0.7,0.906
738627708,Attrited Customer,49,F,2,Unknown,Single,Unknown,Blue,41,5,3,4,5984,0,5984,1838,0.551,42,0.556,0
719527833,Existing Customer,45,F,4,High School,Unknown,Unknown,Blue,36,6,3,3,23000,1097,21903,3886,1.095,70,0.667,0.048
715921758,Existing Customer,36,M,2,College,Single,$60K - $80K,Blue,25,5,3,2,1438.3,0,1438.3,2882,0.579,68,0.619,0
717280158,Existing Customer,49,M,3,Graduate,Married,Less than $40K,Blue,36,3,3,5,2976,1817,1159,3332,0.739,60,0.667,0.611
714179658,Existing Customer,43,M,3,High School,Single,$120K +,Blue,36,3,1,3,34516,0,34516,1996,0.852,48,0.548,0
806637558,Existing Customer,58,M,1,High School,Married,$60K - $80K,Blue,53,5,2,5,1438.3,0,1438.3,1539,0.425,40,0.6,0
714828708,Existing Customer,46,M,0,High School,Divorced,$80K - $120K,Blue,36,3,1,4,16099,0,16099,3656,0.562,88,0.76,0
711989358,Existing Customer,50,M,2,Graduate,Single,$80K - $120K,Blue,36,4,2,1,19595,1187,18408,3811,0.875,62,0.824,0.061
720188508,Existing Customer,43,M,4,Graduate,Single,$60K - $80K,Blue,25,3,2,4,13193,1749,11444,4071,0.671,64,0.73,0.133
719528958,Existing Customer,57,F,3,College,Single,$40K - $60K,Blue,36,3,1,3,8184,1508,6676,4134,0.789,71,0.821,0.184
713110908,Existing Customer,30,M,1,Unknown,Married,Less than $40K,Blue,13,3,6,5,2607,1966,641,1719,0.65,45,0.607,0.754
721179708,Existing Customer,48,F,2,Unknown,Married,Less than $40K,Blue,37,4,2,3,5758,0,5758,4422,0.433,76,0.407,0
716363658,Existing Customer,51,M,2,Doctorate,Single,$120K +,Blue,36,4,2,5,25873,582,25291,3920,0.769,84,0.647,0.022
711443808,Existing Customer,46,M,2,Unknown,Divorced,$60K - $80K,Blue,37,6,1,1,2695,1657,1038,4068,0.813,53,0.963,0.615
778952058,Existing Customer,46,M,3,College,Married,$80K - $120K,Blue,32,4,2,5,20860,1496,19364,3435,0.816,56,0.697,0.072
713642133,Existing Customer,45,M,4,Unknown,Married,$40K - $60K,Blue,30,6,3,3,1892,1049,843,4558,1.122,60,1.609,0.554
778908783,Existing Customer,52,M,3,College,Married,$80K - $120K,Blue,33,3,3,4,27751,1018,26733,1427,0.426,25,0.667,0.037
778170633,Existing Customer,48,M,5,Graduate,Married,$80K - $120K,Blue,38,6,2,2,34516,657,33859,3661,0.723,71,0.868,0.019
714670533,Existing Customer,47,M,3,Unknown,Single,$80K - $120K,Blue,37,3,1,5,24580,2517,22063,3069,0.509,62,0.771,0.102
771833433,Attrited Customer,49,M,2,High School,Married,$80K - $120K,Blue,38,3,2,4,29893,0,29893,2063,0.519,48,0.846,0
772758783,Existing Customer,43,M,1,Unknown,Married,$80K - $120K,Blue,33,5,1,5,21165,735,20430,3343,0.624,60,0.667,0.035
788959758,Existing Customer,47,F,4,Uneducated,Single,$40K - $60K,Blue,33,3,2,1,9148,561,8587,3451,0.774,59,0.967,0.061
716878533,Existing Customer,55,M,2,Unknown,Married,$80K - $120K,Blue,46,4,1,1,10979,1889,9090,1425,0.475,33,0.5,0.172
713267133,Existing Customer,41,F,5,Post-Graduate,Married,Less than $40K,Blue,33,3,1,2,6519,851,5668,3088,0.679,65,0.711,0.131
716263533,Existing Customer,44,M,5,High School,Married,$80K - $120K,Blue,36,3,2,2,2509,1464,1045,3166,1.25,72,0.946,0.583
719026383,Existing Customer,35,F,2,Uneducated,Married,Less than $40K,Blue,36,3,1,3,2664,0,2664,3135,1.071,59,0.903,0
821755233,Existing Customer,40,F,2,Unknown,Married,Unknown,Blue,28,5,5,2,14999,1123,13876,3441,0.539,69,0.468,0.075
709683633,Existing Customer,32,F,1,High School,Single,Less than $40K,Silver,13,4,1,2,10332,948,9384,2914,0.843,67,0.763,0.092
714318033,Existing Customer,50,M,4,Unknown,Married,$60K - $80K,Blue,36,5,1,4,10226,1638,8588,3321,1.053,57,1.036,0.16
828291858,Attrited Customer,38,M,3,College,Single,$60K - $80K,Blue,34,6,3,4,12050,1821,10229,2381,0.63,40,0.481,0.151
779647608,Existing Customer,39,M,2,High School,Single,$120K +,Blue,22,5,2,2,26124,0,26124,4199,0.735,92,0.586,0
787605558,Existing Customer,48,F,3,Graduate,Divorced,Less than $40K,Blue,31,6,2,2,9816,0,9816,3489,0.673,81,0.528,0
771534408,Existing Customer,52,F,2,College,Single,Less than $40K,Blue,40,4,3,3,2783,2379,404,3897,0.912,74,1,0.855
716219808,Existing Customer,49,M,3,Graduate,Unknown,$60K - $80K,Blue,36,5,2,3,15942,0,15942,1742,0.723,41,0.323,0
715690908,Existing Customer,46,F,3,Graduate,Single,Less than $40K,Silver,39,4,3,2,12222,1260,10962,3418,1.138,78,0.733,0.103
789125733,Existing Customer,38,F,4,Doctorate,Married,Less than $40K,Blue,26,4,2,4,4002,1402,2600,2114,0.579,53,0.514,0.35
717271983,Existing Customer,60,M,0,College,Single,$80K - $120K,Silver,53,6,3,2,34516,1388,33128,3261,0.791,64,0.684,0.04
709695333,Existing Customer,48,M,2,High School,Single,$80K - $120K,Blue,36,3,2,4,10227,1695,8532,3577,0.875,82,0.783,0.166
712233183,Existing Customer,45,F,2,Graduate,Single,Less than $40K,Blue,34,3,3,1,4265,1622,2643,3244,0.708,62,0.879,0.38
716645883,Existing Customer,47,M,2,Unknown,Unknown,$60K - $80K,Blue,36,3,2,2,13867,0,13867,4297,0.659,68,0.744,0
711762408,Existing Customer,43,M,2,Doctorate,Divorced,$40K - $60K,Blue,34,4,1,2,2243,0,2243,4023,0.697,63,0.75,0
818305008,Existing Customer,41,F,2,Graduate,Married,$40K - $60K,Blue,36,6,1,3,11239,1375,9864,3978,0.94,89,0.78,0.122
788159433,Existing Customer,53,M,2,Unknown,Single,$60K - $80K,Blue,45,5,1,2,22558,818,21740,3855,0.987,70,0.591,0.036
709104333,Existing Customer,50,M,5,Post-Graduate,Married,$120K +,Silver,36,5,2,4,34516,891,33625,2687,0.926,64,0.778,0.026
708112008,Existing Customer,56,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2,3,23510,1049,22461,1661,0.438,35,0.296,0.045
714731208,Existing Customer,63,F,0,Uneducated,Unknown,$40K - $60K,Blue,55,6,2,2,1651,1433,218,4050,0.985,58,0.611,0.868
710006958,Existing Customer,53,F,1,High School,Single,Less than $40K,Blue,41,6,2,2,8693,796,7897,4755,0.864,69,0.533,0.092
815062383,Existing Customer,35,F,2,High School,Married,Less than $40K,Blue,30,3,3,1,4549,1193,3356,1914,0.445,33,0.5,0.262
778447908,Existing Customer,51,M,2,College,Married,$80K - $120K,Blue,33,3,1,2,3558,0,3558,4136,0.57,65,0.912,0
720725058,Attrited Customer,51,F,1,Graduate,Single,Less than $40K,Blue,37,1,3,4,7176,0,7176,1375,0.45,33,0.65,0
803415183,Existing Customer,44,M,3,Unknown,Single,$80K - $120K,Silver,38,3,3,1,34516,657,33859,4614,0.641,76,0.689,0.019
708582858,Existing Customer,38,M,3,Graduate,Single,$60K - $80K,Blue,25,3,3,4,18293,0,18293,2958,0.571,63,0.432,0
779833908,Existing Customer,40,F,2,Graduate,Divorced,Unknown,Blue,23,6,2,1,18332,1376,16956,4095,0.6,67,0.675,0.075
818687958,Existing Customer,48,M,2,Graduate,Divorced,$80K - $120K,Blue,43,5,3,2,6383,1436,4947,4462,0.845,88,0.66,0.225
708714108,Existing Customer,42,F,3,High School,Single,Less than $40K,Silver,31,5,2,3,13441,2517,10924,1894,0.734,49,0.633,0.187
754872333,Existing Customer,50,M,2,Graduate,Married,$120K +,Blue,43,3,1,3,20114,0,20114,4740,0.82,88,0.796,0
718637208,Existing Customer,54,F,2,Graduate,Single,Less than $40K,Blue,43,3,2,1,2019,1387,632,1689,0.56,36,0.714,0.687
816772908,Existing Customer,38,M,3,High School,Single,$60K - $80K,Silver,33,6,1,2,34516,1793,32723,4533,0.767,78,0.472,0.052
711935283,Attrited Customer,55,M,5,Post-Graduate,Single,$80K - $120K,Blue,47,3,1,4,1438.3,0,1438.3,1427,0.414,36,0.333,0
716950758,Attrited Customer,46,M,4,High School,Married,$60K - $80K,Blue,36,1,3,2,8017,0,8017,1657,0.559,43,0.654,0
716497908,Existing Customer,49,F,1,Doctorate,Married,Unknown,Blue,36,3,1,2,8519,0,8519,3698,0.873,65,0.625,0
809358708,Existing Customer,38,M,3,Unknown,Single,$80K - $120K,Blue,33,6,2,2,34516,2135,32381,3514,0.488,63,0.703,0.062
716037708,Existing Customer,50,M,0,Uneducated,Divorced,$60K - $80K,Blue,39,6,3,3,9474,1021,8453,3240,0.557,54,0.588,0.108
717804783,Existing Customer,40,F,3,Graduate,Single,Less than $40K,Blue,27,5,3,4,6587,824,5763,4160,1.262,70,0.842,0.125
715338783,Existing Customer,32,M,1,High School,Single,$60K - $80K,Blue,36,4,2,2,2999,0,2999,3018,0.812,80,0.778,0
